sépal length,pétal width,spécies
5.1,0.2,Iris-sétosa
4.9,0.2,Iris-sétosa
4.7,0.2,Iris-sétosa
4.6,0.2,Iris-sétosa
5.0,0.2,Iris-sétosa
5.4,0.2,Iris-sétosa
4.8,0.2,Iris-sétosa
4.8,0.1,Iris-sétosa
4.3,0.1,Iris-sétosa
5.8,0.2,Iris-sétosa
7.0,1.4,Iris-versicolor
6.4,1.5,Iris-versicolor
6.9,1.5,Iris-versicolor
5.5,1.3,Iris-versicolor
6.5,1.5,Iris-versicolor
5.7,1.3,Iris-versicolor
5.9,1.5,Iris-versicolor
6.0,1.0,Iris-versicolor
6.1,1.4,Iris-versicolor
5.6,1.3,Iris-versicolor
6.3,2.5,Iris-virginica
5.8,1.9,Iris-virginica
7.1,2.1,Iris-virginica
6.3,1.8,Iris-virginica
6.5,2.2,Iris-virginica
7.6,2.1,Iris-virginica
4.9,1.7,Iris-virginica
7.3,1.8,Iris-virginica
6.7,1.8,Iris-virginica
5.8,2.4,Iris-virginica
