sepal length,species,petal width,petal length
5.1,Iris-setosa,0.2,1.4
4.9,Iris-setosa,0.2,1.4
4.7,Iris-setosa,0.2,1.3
4.6,Iris-setosa,0.2,1.5
5,Iris-setosa,0.2,1.4
5.4,Iris-setosa,0.2,1.7
4.8,Iris-setosa,0.2,1.4
4.8,Iris-setosa,0.1,1.5
4.3,Iris-setosa,0.1,1.4
5.8,Iris-setosa,0.2,1.5
7,Iris-versicolor,1.4,1.5
6.4,Iris-versicolor,1.5,1.6
6.9,Iris-versicolor,1.5,1.4
5.5,Iris-versicolor,1.3,1.1
6.5,Iris-versicolor,1.5,1.2
5.7,Iris-versicolor,1.3,1.5
5.9,Iris-versicolor,1.5,1.3
6,Iris-versicolor,1,1.4
6.1,Iris-versicolor,1.4,1.7
5.6,Iris-versicolor,1.3,1.5
6.3,Iris-virginica,2.5,1.7
5.8,Iris-virginica,1.9,1.5
7.1,Iris-virginica,2.1,1
6.3,Iris-virginica,1.8,1.7
6.5,Iris-virginica,2.2,1.9
7.6,Iris-virginica,2.1,1.6
4.9,Iris-virginica,1.7,1.6
7.3,Iris-virginica,1.8,1.5
6.7,Iris-virginica,1.8,1.4
5.8,Iris-virginica,2.4,1.6
